Concept,ImageNet IDs,ImageNet classes,Features
hawk,,,"a_bird, a_predator, beh_-_eats_mice, beh_-_eats_rodents, beh_-_flies, beh_-_sees_well, beh_-_soars, has_a_beak, has_claws, has_eyes, has_feathers, has_wings, is_large"
helicopter,,,"has_blades, has_propellers, inbeh_-_flies, inbeh_-_hovers, is_loud, made_of_metal, requires_pilots, used_by_people, used_by_the_police, used_for_transportation"
helmet,"518, 560","crash helmet, football helmet","a_safety_accessory, different_colours, has_a_strap, is_hard, is_not_illegal_to_wear, made_of_plastic, worn_by_hockey_players, worn_for_protection, worn_for_riding_bicycles, worn_for_sports, worn_on_heads, worn_on_motorcycles"
hoe,,,"a_tool, has_a_blade, has_a_handle, has_a_long_handle, has_a_metal_blade, has_a_wooden_handle, has_an_end, is_long, made_of_metal, used_for_aerating_soil, used_for_digging, used_for_farming, used_for_gardening, used_for_tilling_soil, used_for_weeding"
honeydew,,,"a_fruit, a_melon, eaten_in_fruit_salads, eaten_in_summer, has_rind, has_seeds, is_expensive, is_green, is_juicy, is_nutritious, is_round, is_yellow, tastes_good, tastes_sweet"
hook,600,hook claw,"found_on_walls, is_curved, is_sharp, made_of_metal, made_of_plastic, used_as_a_hand, used_by_hanging_things_on, used_for_catching, used_for_fishing"
hornet,,,"an_insect, beh_-_buzzes, beh_-_flies, beh_-_likes_flowers, beh_-_stings, has_a_stinger, has_wings, is_black, is_large, is_yellow, like_a_bee, lives_in_a_nest"
horse,,,"an_animal, associated_with_saddles, beh_-_eats, has_4_legs, has_a_mane, has_a_tail, has_hooves, has_legs, is_beautiful, is_fast, is_large, is_strong, lives_in_stables, lives_on_farms, used_by_riding, used_for_pulling, used_for_racing, used_for_transportation, used_for_working"
hose,,,"a_tube, found_outdoors, has_a_nozzle, inbeh_-_sprays_water, inbeh_-_water_flows_through_it, is_green, is_long, is_round, is_thin, made_of_plastic, made_of_rubber, used_by_firemen, used_for_washing_cars, used_for_watering_gardens, used_for_watering_lawns, used_with_sprinklers"
hose_(leggings),,,"clothing, different_colours, different_sizes, has_runs, inbeh_-_runs_easily, is_tight, is_transparent, made_of_nylon, worn_by_women, worn_for_warmth, worn_on_the_legs, worn_under_dresses, worn_under_skirts"
house,,,"a_house, has_a_roof, has_bathrooms, has_bedrooms, has_doors, has_rooms, has_windows, is_expensive, is_large, is_small, is_warm, made_by_humans, made_of_brick, made_of_wood, used_for_living_in, used_for_shelter"
housefly,,,"a_pest, an_insect, beh_-_buzzes, beh_-_eats_garbage, beh_-_flies, has_eyes, has_legs, has_wings, is_annoying, is_black, is_dirty, is_fast, is_killed, is_small, lives_in_houses"
hut,,,"a_house, is_small, made_by_humans, made_of_grass, made_of_straw, made_of_wood"
hyena,"275, 276","African hunting dog hyena dog Cape hunting dog Lycaon pictus, hyena hyaena","a_carnivore, a_mammal, a_predator, a_scavenger, an_animal, associated_with_Lion_King, beh_-_laughs, beh_-_runs, has_4_legs, is_fast, is_furry, is_ugly, like_a_dog, lives_in_packs"
iguana,39,common iguana iguana Iguana iguana,"a_lizard, a_pet, a_reptile, an_animal, beh_-_eats_bugs, has_4_legs, has_a_long_tail, has_a_long_tongue, has_a_tail, has_a_tongue, has_eyes, has_legs, is_green, is_scaly, is_slimy, lives_in_deserts, lives_in_hot_climates"
inn,,,"a_building, a_hotel, found_in_the_country, has_beds, has_food, has_rooms, is_small, used_as_a_place_to_stay, used_for_sleeping_in, used_for_vacations"
jacket,,,"clothing, different_colours, has_a_hood, has_a_zipper, has_buttons, has_pockets, has_sleeves, is_warm, made_of_leather, worn_by_people, worn_for_keeping_warm, worn_for_the_rain, worn_in_cold_temperatures, worn_in_fall, worn_in_winter"
jar,,,"a_container, has_a_label, has_a_lid, has_a_screw_on_lid, is_breakable, is_transparent, made_of_glass, made_of_plastic, used_for_holding_food, used_for_holding_jam, used_for_holding_things, used_for_preserves"
jeans,,,"clothing, different_colours, has_a_zipper, has_buttons, has_pockets, has_rips, inbeh_-_fades, is_blue, is_casual, is_comfortable, is_durable, made_of_denim, worn_by_people, worn_for_pants"
jeep,609,jeep landrover,"a_car, a_vehicle, has_4_wheels, has_a_roof, has_four-wheel_drive, has_wheels, is_convertible, is_green, is_high_off_ground, is_open, used_by_the_army, used_for_off_roading, used_for_rugged_terrain, used_in_summer"
jet,,,"an_airplane, beh_-_flies, has_an_engine, has_engines, has_wheels, has_wings, is_fast, is_large, is_loud, made_of_metal, requires_fuel, requires_pilots, used_for_passengers, used_for_transportation, used_for_travel"
kettle,,,"an_appliance, found_in_kitchens, has_a_handle, has_a_plug, has_a_spout, inbeh_-_gets_hot, inbeh_-_produces_steam, inbeh_-_whistles, is_electrical, made_of_metal, made_of_plastic, used_for_boiling_water, used_for_heating_water, used_for_holding_water, used_for_making_coffee, used_for_making_tea, used_on_stove_tops"
key,,,"found_on_chains, has_ridges, is_easily_lost, is_gold, is_silver, is_small, made_of_metal, used_for_locking/unlocking_cars, used_for_locking/unlocking_doors, used_for_locks, used_for_opening_things, used_for_unlocking_things"
keyboard_(musical),,,"a_musical_instrument, a_piano, has_keys, inbeh_-_produces_music, inbeh_-_produces_notes, inbeh_-_produces_sound, is_black, is_electrical, is_portable, is_white"
kite,21,kite,"a_toy, different_colours, has_a_string, inbeh_-_flies_in_the_wind, is_colourful, is_popular, like_a_diamond, made_of_paper, made_of_plastic, made_of_wood, requires_wind, used_by_children, used_by_flying, used_for_playing"
knife,623,letter opener paper knife paperknife,"a_cutlery, a_utensil, a_weapon, found_in_kitchens, has_a_blade, has_a_handle, is_dangerous, is_serrated, is_sharp, is_shiny, made_of_metal, made_of_stainless_steel, made_of_steel, used_by_butchers, used_for_cutting, used_for_killing, used_with_forks"
ladle,618,ladle,"a_spoon, a_utensil, found_in_kitchens, has_a_long_handle, made_of_metal, made_of_plastic, made_of_wood, used_for_cooking, used_for_serving_food, used_for_soup, used_for_stirring"
lamb,,,"an_animal, beh_-_bahs, beh_-_eats_grass, eaten_as_meat, has_4_legs, has_fur, has_wool, is_black, is_edible, is_fluffy, is_soft, is_white, lives_on_farms, requires_shepherds, used_by_clipping/shearing, used_for_wool"
lamp,"619, 846","lampshade lamp shade, table lamp","found_on_floors, found_on_tables, furniture, has_a_cord, has_a_shade, has_a_switch, has_lightbulbs, inbeh_-_produces_heat, is_bright, is_electrical, requires_oil, used_by_hanging, used_by_hanging_from_ceilings, used_for_making_light"
lantern,,,"has_a_candle, is_bright, is_hand_held, is_lit_by_flames, is_old-fashioned, made_of_glass, made_of_metal, requires_gas, requires_oil, used_at_night, used_for_camping, used_for_light"
lemon,951,lemon,"a_fruit, eaten_in_pies, grows_on_trees, has_peel, has_seeds, has_skin, is_citrus, is_juicy, is_oval, is_yellow, tastes_sour, tastes_tart, used_for_drinks, used_for_juice, used_for_lemonade, used_for_tea, used_in_cooking"
leopard,"288, 289","leopard Panthera pardus, snow leopard ounce Panthera uncia","a_carnivore, a_predator, an_animal, has_4_legs, has_spots, is_fast, is_furry, is_large, like_a_cat"
leotards,,,"a_tights, clothing, different_colours, is_colourful, is_stretchy, is_tight, worn_by_women, worn_for_aerobics, worn_for_ballet, worn_for_dancing, worn_for_exercising, worn_on_legs"
lettuce,,,"a_vegetable, different_kinds, eaten_by_rabbits, eaten_in_salads, eaten_in_sandwiches, eaten_with_dressings, eg_-_iceberg, eg_-_romaine, grows_in_gardens, grows_on_the_ground, has_leaves, has_lots_of_water_inside, has_water, is_crunchy, is_edible, is_green, is_leafy, is_nutritious"
level,,,"a_tool, has_bubbles, is_straight, made_of_wood, used_for_carpentry, used_for_construction, used_for_making_straight_lines, used_for_measuring, used_for_measuring_evenness"
lime,,,"a_fruit, grows_on_trees, has_seeds, is_citrus, is_green, is_juicy, is_small, like_a_lemon, tastes_sour, tastes_tart, used_for_drinks, used_in_alcoholic_drinks, used_in_sprite"
limousine,627,limousine limo,"a_car, has_4_wheels, has_a_bar, has_a_sun_roof, has_a_television, has_alcohol, has_leather_seats, has_tinted_windows, is_black, is_expensive, is_large, is_long, is_luxurious, is_white, requires_drivers, requires_gasoline, used_at_special_occasions, used_by_many_passengers, used_by_rich_people"
lion,291,lion king of beasts Panthera leo,"a_carnivore, a_cat, a_mammal, a_predator, an_animal, beh_-_roars, has_a_mane, has_a_tail, has_fur, has_teeth, is_dangerous, is_ferocious, is_large, king_of_the_beasts, king_of_the_jungle, lives_in_Africa, lives_in_jungles, lives_in_wilderness, lives_in_zoos, used_in_circuses"
lobster,"122, 123","American lobster Northern lobster Maine lobster Homarus americanus, spiny lobster langouste rock lobster crawfish crayfish sea crawfish","a_crustacean, a_seafood, an_animal, beh_-_swims, eaten_by_boiling, eaten_with_butter, has_a_shell, has_a_tail, has_claws, has_eyes, hunted_by_people, is_edible, is_expensive, is_red, lives_in_oceans, lives_in_water, tastes_good"
machete,,,"a_knife, a_weapon, has_a_handle, is_dangerous, is_long, is_sharp, made_of_metal, used_for_cutting"
mackerel,,,"a_fish, beh_-_lays_eggs, beh_-_swims, has_fins, has_gills, has_scales, hunted_by_people, is_edible, lives_in_water"
magazine,,,"bought/sold_in_stores, has_a_cover, has_advertisements, has_articles, has_glossy_pages, has_pages, has_pictures, has_words_in_it, is_colourful, is_smooth, like_a_book, made_of_paper, requires_money, used_for_reading"
mandarin,,,"a_Chinese_language, a_fruit, eaten_at_Christmas, eaten_by_peeling, grows_on_trees, has_peel, has_seeds, has_skin, has_vitamin_C, is_juicy, is_orange, is_round, is_small, tastes_good, tastes_sweet"
marble,,,"comes_in_bags, different_colours, different_designs, inbeh_-_rolls, is_colourful, is_hard, is_round, is_small, is_smooth, made_of_glass, used_by_children, used_for_collecting, used_for_games, used_for_playing"
mat,"539, 741","doormat welcome mat, prayer rug prayer mat","a_rug, found_by_doors, found_in_bathrooms, found_in_cars, found_on_floors, is_small, made_of_material, made_of_rubber, used_for_covering_floors, used_for_protecting_things, used_for_welcoming, used_for_wiping_feet, used_for_wiping_shoes"
medal,,,"a_prize, a_reward, an_award, associated_with_achievements, associated_with_Olympics, associated_with_winning, has_a_ribbon, is_engraved, is_round, made_of_bronze, made_of_gold, made_of_metal, made_of_silver, worn_around_neck"
menu,922,menu,"has_lists_of_foods, has_lists_of_prices, has_words_on_it, made_of_paper, made_of_plastic, used_at_restaurants, used_for_ordering_food, used_for_selecting_meals"
microscope,,,"an_instrument, found_in_laboratories, has_a_light_inside, has_eyepieces, has_glass, has_lenses, is_expensive, is_scientific, made_of_metal, used_for_looking, used_for_magnifying, used_for_science, used_for_seeing_things_close-up"
microwave,651,microwave microwave oven,"an_appliance, an_oven, found_in_kitchens, has_a_finish_signal, has_a_turntable, has_doors, inbeh_-_produces_radiation, is_box_shaped, is_convenient, is_electrical, is_fast, is_modern, used_for_cooking, used_for_cooking_fast, used_for_heating_food, uses_radiation"
mink,357,mink,"a_mammal, an_animal, has_4_legs, has_a_tail, has_eyes, has_teeth, hunted_by_people, is_brown, is_expensive, is_fast, is_furry, is_small, is_soft, used_for_coats, used_for_fur"
mink_(coat),,,"different_colours, is_black, is_brown, is_expensive, is_soft, is_warm, made_of_animals, made_of_fur, made_of_mink, worn_by_rich_people, worn_by_women"
minnow,,,"a_baby_fish, a_fish, an_animal, beh_-_eats_water_plants, beh_-_swims, beh_-_swims_in_schools, eaten_by_fish, has_fins, has_gills, is_edible, is_small, lives_in_water, used_for_bait"
mirror,475,car mirror,"different_sizes, found_in_bathrooms, found_in_bedrooms, found_in_houses, found_on_walls, inbeh_-_breaks, inbeh_-_gives_bad_luck_if_breaks, is_breakable, is_shiny, made_of_glass, used_for_showing_reflections"
missile,"657, 744","missile, projectile missile","a_weapon, beh_-_flies, has_warheads, inbeh_-_explodes, is_dangerous, is_destructive, is_expensive, is_fast, is_launched, is_long, is_long_range, is_nuclear, launched_from_airplanes, made_of_metal, used_by_the_army, used_for_killing, used_for_war"
mittens,,,"clothing, comes_in_pairs, has_a_thumb, has_a_thumb_(1)_and_all_fingers_(2), has_no_fingers, is_attached_by_string, is_colourful, is_easily_lost, is_knitted, made_of_wool, worn_by_children, worn_for_keeping_hands_warm, worn_for_warmth, worn_in_winter, worn_on_hands"
mixer,,,"an_appliance, found_in_kitchens, has_blades, has_bowls, is_electrical, is_loud, used_for_cooking, used_for_making_cakes, used_for_mixing"
mole_(animal),,,"a_rodent, an_animal, beh_-_burrows, beh_-_digs_holes, has_4_legs, has_a_nose, has_claws, has_feet, has_hair, is_brown, is_furry, is_short-sighted, is_small, lives_in_ground"
moose,,,"a_herbivore, a_mammal, an_animal, eaten_as_meat, has_4_legs, has_antlers, has_fur, has_hair, has_hooves, has_legs, hunted_by_people, is_brown, is_large, lives_in_wilderness, lives_in_woods"
moth,,,"an_insect, beh_-_eats_clothing, beh_-_flies, beh_-_is_attracted_to_light, has_wings, is_brown, is_grey, is_small"
motorcycle,,,"a_vehicle, has_2_wheels, has_an_engine, has_wheels, is_dangerous, is_fast, is_fun, is_loud, made_by_Harley_Davidson, requires_gasoline, used_by_1_or_2_people, used_by_2_people, used_by_Hell's_Angels, used_for_transportation, used_with_helmets, used_with_leather"
mouse,,,"a_rodent, an_animal, beh_-_eats, beh_-_eats_cheese, beh_-_squeaks, has_a_long_tail, has_a_tail, has_fur, has_whiskers, is_cute, is_grey, is_small, is_trapped, is_white, likes_cheese, lives_in_fields, lives_in_houses, lives_in_walls, used_in_experiments"
mouse_(computer),673,mouse computer mouse,"has_2_buttons, has_3_buttons, has_a_ball, has_a_cord, has_buttons, inbeh_-_clicks, is_hand_held, is_small, made_of_plastic, requires_a_mouse_pad, used_by_connecting_to_computers, used_for_controlling_the_cursor"
mug,504,coffee mug,"a_container, a_cup, has_a_handle, has_a_message, has_patterns, is_large, made_of_ceramic, used_for_coffee, used_for_drinking, used_for_eating_soup, used_for_holding_things, used_for_hot_chocolate, used_for_hot_drinks, used_for_tea"
mushroom,947,mushroom,"a_fungus, a_vegetable, eaten_by_cooking, eaten_in_salads, eaten_on_pizza, grows_in_forests, grows_in_the_wild, grows_on_the_ground, has_a_cap, has_a_stem, is_brown, is_edible, is_poisonous, is_small, is_white, used_as_drug"
muzzle,676,muzzle,"has_a_strap, made_of_leather, used_for_preventing_biting, used_for_preventing_noise, used_for_restraining, used_on_animals, used_on_dogs, worn_over_mouths"
napkin,529,diaper nappy napkin,"different_colours, found_on_tables, is_disposable, is_placed_on_laps, is_soft, is_square, is_white, made_of_cloth, made_of_paper, used_at_dinners, used_by_folding/unfolding, used_for_cleaning, used_for_wiping_hands, used_for_wiping_mouth"
necklace,679,necklace,"a_fashion_accessory, a_jewelry, bought/sold_in_stores, has_a_charm, has_a_clasp, has_a_pendant, has_sentimental_value, is_expensive, is_long, made_of_beads, made_of_diamonds, made_of_gold, made_of_pearls, made_of_silver, used_for_gifts, worn_around_neck, worn_by_women"
nectarine,,,"a_fruit, eaten_in_summer, grows_on_trees, has_a_large_pit, has_a_pit, has_an_inside, has_no_fuzz, has_skin, has_smooth_skin, is_juicy, is_orange, is_round, is_small, is_smooth, like_a_peach, tastes_good, tastes_sweet"
nightgown,,,"clothing, different_colours, is_comfortable, is_long, is_short, is_soft, is_warm, made_of_cotton, made_of_silk, worn_at_night, worn_by_women"
nightingale,,,"a_bird, beh_-_flies, beh_-_sings, has_a_beak, has_feathers, has_wings"
nylons,,,"a_pantyhose, a_stockings, different_colours, has_runs, has_toes, inbeh_-_runs_easily, is_sheer, is_stretchy, is_thin, is_transparent, made_of_material, used_for_making_things, worn_by_women, worn_for_covering, worn_for_covering_legs, worn_on_legs, worn_with_dresses, worn_with_skirts"
oak,,,"a_tree, grows_in_forests, has_leaves, is_brown, is_hard, is_large, is_strong, is_tall, made_of_wood, used_as_home_by_animals, used_for_making_furniture"
octopus,,,"a_fish, an_animal, beh_-_shoots_ink, beh_-_swims, has_8_tentacles, has_suction_cups, has_tentacles, is_edible, is_large, is_ugly, lives_in_oceans, lives_in_seas, lives_in_water"
olive,,,"a_food, a_fruit, a_vegetable, eaten_in_martinis, eaten_in_pasta, eaten_in_salads, eaten_on_pizza, grows_on_trees, has_a_pit, is_black, is_edible, is_green, is_oval, is_red, is_small, tastes_good, used_for_oil"
onions,,,"a_vegetable, causes_bad_breath, causes_crying/tears, comes_in_bulbs, eaten_by_chopping, eaten_in_salads, eaten_in_soups, eg_-_spanish, has_layers, has_skin, is_green, is_round, is_strong_smelling, is_white, is_yellow, tastes_strong"
orange,950,orange,"a_colour, a_fruit, grows_in_Florida, grows_on_trees, has_peel, has_pulp, has_sections, has_seeds, has_vitamin_C, is_bright, is_citrus, is_juicy, is_orange, is_round, tastes_sweet, used_for_juice"
oriole,,,"a_bird, associated_with_baseball, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_feathers, has_wings, is_black, is_orange"
ostrich,9,ostrich Struthio camelus,"a_bird, beh_-_cannot_fly, beh_-_lays_eggs, beh_-_lays_large_eggs, beh_-_runs, beh_-_runs_fast, beh_-_sticks_head_in_sand, has_a_beak, has_a_long_neck, has_a_neck, has_feathers, has_legs, has_long_legs, has_wings, is_large, is_strange_looking, is_ugly, lives_in_Africa, lives_in_zoos"
otter,360,otter,"a_mammal, an_animal, beh_-_eats, beh_-_swims, has_a_tail, has_fur, is_brown, is_cute, lives_in_water"
oven,,,"an_appliance, found_in_kitchens, has_a_door, has_a_temperature_control, has_racks, is_dangerous, is_hot, made_of_metal, requires_electricity, requires_gas, used_for_baking, used_for_broiling, used_for_cooking, used_for_food"
owl,24,great grey owl great gray owl Strix nebulosa,"a_bird, an_animal, beh_-_eats_mice, beh_-_flies, beh_-_hoots, beh_-_is_nocturnal, has_a_beak, has_eyes, has_feathers, has_wings, is_brown, lives_in_forests, lives_in_trees"
ox,"345, 346","ox, water buffalo water ox Asiatic buffalo Bubalus bubalis","a_mammal, an_animal, beh_-_eats_grass, has_4_legs, has_horns, is_brown, is_furry, is_large, is_strong, like_a_cow, used_for_ploughing"
paintbrush,696,paintbrush,"different_sizes, has_a_handle, has_bristles, is_long, made_of_wood, used_for_painting"
pajamas,,,"clothing, has_2_pieces, has_a_shirt, has_pants, is_comfortable, is_soft, is_warm, made_of_cotton, made_of_silk, worn_at_night, worn_to_bed"
pan,567,frying pan frypan skillet,"found_in_kitchens, has_a_handle, has_a_lid, has_Teflon_coating, is_non-stick, is_round, made_of_cast_iron, made_of_metal, used_for_cooking, used_for_finding_gold, used_for_frying, used_on_stove_tops"
panther,"286, 290","cougar puma catamount mountain lion painter panther Felis concolor, jaguar panther Panthera onca Felis onca","a_carnivore, a_cat, a_predator, an_animal, beh_-_climbs_trees, beh_-_hunts, has_4_legs, has_a_tail, is_black, is_fast, is_sleek, is_wild, lives_in_jungles"
pants,,,"clothing, different_colours, eg_-_bell_bottoms, eg_-_jeans, has_2_legs, has_belt_loops, has_buttons, has_cuffs, has_legs, has_pockets, has_seams, has_zippers, is_long, made_of_different_materials, made_of_material, worn_by_men, worn_by_women, worn_for_covering, worn_for_covering_legs, worn_for_warmth, worn_with_belts"
parakeet,,,"a_bird, a_pet, beh_-_chirps, beh_-_eats, beh_-_eats_seeds, beh_-_flies, beh_-_sings, beh_-_talks, has_a_beak, has_feathers, has_wings, is_colourful, is_loud, is_small, is_tropical, lives_in_cages"
parka,,,"a_jacket, associated_with_Eskimos, clothing, has_a_hood, has_a_lining, is_large, is_warm, made_of_fur, worn_for_the_rain, worn_for_the_snow"
parsley,,,"a_food, a_herb, a_vegetable, grows_in_gardens, is_edible, is_green, is_leafy, tastes_good, used_for_decoration, used_for_garnish"
partridge,"82, 86","ruffed grouse partridge Bonasa umbellus, partridge","a_bird, an_animal, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_feathers, has_wings, hunted_by_people, is_edible, lives_in_pear_trees"
peach,,,"a_fruit, eaten_in_summer, grows_on_trees, has_a_pit, has_a_stone, has_fuzzy_skin, has_skin, is_edible, is_furry/fuzzy, is_juicy, is_orange, is_round, is_soft, tastes_good, tastes_sweet"
peacock,84,peacock,"a_bird, an_animal, beh_-_cannot_fly, beh_-_fans_tail_feathers, beh_-_flies, beh_-_lays_eggs, different_colours, has_a_beak, has_a_tail, has_feathers, has_long_tail_feathers, is_beautiful, is_blue, is_colourful, is_large, lives_in_zoos"
pear,,,"a_fruit, grows_in_the_summer, grows_on_trees, has_a_skin, has_a_stem, is_edible, is_green, is_juicy, is_soft, is_white, is_yellow, tastes_good, tastes_sweet"
pearl,,,"found_in_clams, found_in_oceans, found_in_oysters, has_value, is_black, is_expensive, is_hard, is_round, is_shiny, is_small, is_smooth, is_white, made_by_oysters, worn_as_earrings, worn_as_necklaces"
peas,,,"a_vegetable, comes_frozen, eaten_by_cooking, eaten_in_soups, grows_in_pods, is_edible, is_green, is_nutritious, is_round, is_small, is_yellow, tastes_good"
peg,,,"has_a_pointed_end, is_round, is_small, made_of_metal, made_of_plastic, made_of_wood, used_by_hanging_things_on"
pelican,144,pelican,"a_bird, an_animal, beh_-_eats_fish, beh_-_flies, beh_-_swims, has_a_beak, has_a_large_beak, has_feathers, has_webbed_feet, has_wings, is_large, is_white, lives_by_the_ocean, lives_on_beaches, lives_on_water"
pen,"418, 563","ballpoint ballpoint pen ballpen Biro, fountain pen","different_colours, has_a_ball_point, has_a_cap, has_a_pointed_end, has_ink, is_blue, is_long, is_red, is_round, is_thin, made_of_metal, made_of_plastic, used_for_writing, used_for_writing, used_with_paper"
pencil,,,"a_utensil, has_an_eraser, has_an_eraser_on_end, is_erasable, is_long, is_mechanical, is_sharpened, is_thin, is_yellow, made_of_graphite, made_of_lead, made_of_wood, used_at_school, used_for_drawing, used_for_math, used_for_writing"
penguin,145,king penguin Aptenodytes patagonica,"a_bird, an_animal, beh_-_cannot_fly, beh_-_eats_fish, beh_-_lays_eggs, beh_-_swims, beh_-_waddles, has_a_beak, has_feet, has_webbed_feet, has_wings, is_black, is_small, is_white, lives_in_Antarctic, lives_in_Arctic, lives_in_cold_climates, lives_in_flocks"
pepper,945,bell pepper,"a_seasoning, a_spice, associated_with_sneezing, comes_in_small_pieces, eaten_with_food, found_beside_salt, is_black, tastes_hot/spicy, used_by_sprinkling, used_for_cooking, used_for_flavouring, used_with_salt"
perch,,,"a_fish, an_animal, beh_-_lays_eggs, beh_-_swims, has_a_tail, has_fins, has_gills, has_scales, hunted_by_people, is_edible, is_slimy, is_small, lives_in_lakes, lives_in_water, tastes_good"
pheasant,,,"a_bird, an_animal, beh_-_flies, beh_-_lays_eggs, has_a_beak, has_feathers, has_wings, hunted_by_people, is_edible"
piano,"579, 881","grand piano grand, upright upright piano","a_musical_instrument, eg_-_grand, has_a_bench, has_keys, has_pedals, has_strings, inbeh_-_produces_music, is_black, is_large, is_white, made_of_ivory, made_of_wood, used_for_classical_music"
pickle,,,"a_food, a_vegetable, comes_in_a_brine, comes_in_jars, eaten_in_sandwiches, eaten_with_hamburgers, has_seeds, is_crunchy, is_edible, is_green, is_juicy, is_round, made_of_cucumbers, tastes_dill, tastes_good, tastes_salty, tastes_sour, tastes_sweet"
pie,,,"a_dessert, a_food, different_types, eaten_by_baking, eg_-_apple_pie, has_a_crust, has_filling, is_edible, is_round, made_in_ovens, tastes_different_flavours, tastes_good, used_by_cutting"
pier,718,pier,"found_near_the_ocean, found_near_the_water, has_a_lighthouse, is_high, is_large, juts_out_into_water, made_of_wood, used_for_boats, used_for_docking_boats, used_for_fishing, used_for_walking_along"
pig,341,hog pig grunter squealer Sus scrofa,"a_baby_is_a_piglet, a_mammal, an_animal, beh_-_eats, beh_-_oinks, beh_-_squeals, eaten_as_bacon, eaten_as_ham, eaten_as_pork, has_4_legs, has_a_curly_tail, has_a_snout, has_a_tail, has_legs, is_dirty, is_edible, is_fat, is_muddy, is_pink, is_smelly, likes_mud, lives_on_farms"
pigeon,,,"a_bird, an_animal, beh_-_coos, beh_-_eats, beh_-_flies, beh_-_produces_manure, has_2_feet, has_a_beak, has_feathers, has_feet, has_wings, is_grey, lives_in_cities, lives_in_parks"
pillow,721,pillow,"found_on_beds, has_a_pillow_case, has_feather_filling, has_filling, has_foam_filling, is_comfortable, is_decorative, is_fuzzy/fluffy, is_soft, is_white, used_for_pillow_fights, used_for_resting_head, used_for_sleeping"
pin,772,safety pin,"has_a_head, has_a_pointed_end, inbeh_-_pricks_fingers, is_sharp, is_silver, is_small, is_thin, made_of_metal, used_for_holding, used_for_sewing"
pine,,,"a_coniferous, a_tree, an_evergreen, grows_in_forests, has_needles, is_green, is_prickly, is_tall, smells_nice, used_as_Christmas_trees, used_for_making_furniture"
pineapple,953,pineapple ananas,"a_fruit, grows_in_Hawaii, grows_in_warm_climates, grows_on_trees, has_a_core, has_an_inside, has_an_outside, has_green_leaves, has_leaves, has_skin, is_juicy, is_prickly, is_tropical, is_yellow, is_yellow_inside, tastes_sweet, used_for_juice"
pipe,,,"has_connections, inbeh_-_leaks, is_hard, is_hollow, is_long, is_round, made_of_copper, made_of_metal, made_of_plastic, used_for_carrying_water, used_for_holding_water, used_for_transporting_liquids"
pipe_(smoking),,,"inbeh_-_produces_smoke, is_smelly, made_of_wood, used_by_inhaling, used_by_old_men, used_for_smoking_drugs, used_for_smoking_tobacco"
pistol,,,"a_gun, a_weapon, has_a_trigger, inbeh_-_fires, inbeh_-_fires_bullets, is_dangerous, is_hand_held, is_heavy, is_lethal, is_loud, is_small, made_of_metal, requires_a_license, used_by_the_police, used_for_crimes, used_for_killing, used_for_protection, used_for_shooting, used_for_wounding"
plate,923,plate,"a_dish, different_sizes, found_in_cupboards, found_in_kitchens, found_on_tables, has_patterns, is_breakable, is_flat, is_round, is_white, made_of_ceramic, made_of_china, made_of_glass, made_of_paper, made_of_plastic, made_of_porcelain, requires_washing, used_for_eating, used_for_food, used_for_putting_food_on"
platypus,103,platypus duckbill duckbilled platypus duck-billed platypus Ornithorhynchus anatinus,"a_mammal, an_animal, beh_-_swims, has_a_beak, has_a_bill, has_webbed_feet, is_furry, lives_in_water"
pliers,,,"a_tool, different_sizes, found_in_toolboxes, has_a_dead_nose, has_handles, is_hand_held, is_useful, made_of_metal, made_of_steel, used_for_carpentry, used_for_gripping, used_for_pulling"
plug_(electric),,,"found_on_walls, has_2_prongs, has_3_prongs, has_a_cord, has_wires, is_dangerous, made_of_metal, made_of_plastic, requires_a_socket, used_for_appliances, used_for_delivering_power, used_for_electricity, used_with_an_outlet"
plum,,,"a_fruit, eaten_as_prunes_(dried), eaten_in_jams, grows_on_trees, has_a_pit, has_an_inside, has_skin, is_edible, is_juicy, is_purple, is_red, is_round, is_small, tastes_good, tastes_sweet"
pony,,,"a_horse, a_small_horse, an_animal, beh_-_eats, beh_-_eats_hay, has_4_legs, has_a_long_mane, has_a_long_tail, has_a_mane, has_a_tail, has_hair, has_hooves, has_legs, is_small, lives_on_farms, used_by_children, used_by_riding, used_by_riding_by_children"
porcupine,334,porcupine hedgehog,"a_mammal, an_animal, beh_-_shoots_quills, has_4_legs, has_quills, is_brown, is_dangerous, is_slow, is_small, lives_in_forests"
pot,"738, 926","pot flowerpot, hot pot hotpot","a_utensil, different_sizes, found_in_kitchens, has_a_handle, has_a_lid, is_round, made_of_glass, made_of_metal, used_for_cooking, used_on_stove_tops"
potato,,,"a_vegetable, eaten_as_french_fries, eaten_by_baking, eaten_by_boiling, eaten_by_cooking, eaten_by_mashing, eaten_with_butter, grows_in_gardens, grows_in_the_ground, grows_underground, has_an_inside, has_carbohydrates, has_potato_eyes, has_skin, has_starch, is_brown, is_edible, is_inexpensive, is_nutritious"
projector,745,projector,"has_a_light_inside, is_hot, requires_a_screen, used_for_enlarging_pictures, used_for_projecting, used_for_showing_films"
